ID,Protocollo,Password,Frequenza
vAo7WMqt8fVn0cJ2E,WPA,xJu0%vWg.nG2nLiFsc,2358166665,44
7u8GsyUAuVGxx1umIaM7IZr,WPA3,MI$Sw8aJIGnBHS?.kt3CM.4%,1742430619,02
9LT6XRLRlXmrRFVGKRntvF,WPA2,EVHlyS3dY_FLni,bnXZV.wCe,3426664881,92
5SOTutRA6z2C4AN,WEP,gu|:BCkr_CQlt%G5,1500610332,57
W3xndVngKrr7djQ5t2r1ee,WPA3,9MiT0nQC,5tNZ9bWp?iv,1432602357,50
0sIOUGGGb8y7zoyCDu3l2,WPA2,ewtnkajkyOtHPVu1wi%,4541446219,25
oQuArGdtL05x,WEP,XMmL?-:lF6UkAe598d1Y,,2457529768,62
TqMFnFtZp7Zrbbdal7acqEfd,WPA2,?.N%m80yVAOsv,2571102922,96
fIRa7RTHXqvuLCWNnjpYF,WEP,6cfW$miIlf20H,3724358861,51
sUXgtfRHgwyXz,WPA2,oJjz3D4V.6|c,4922544856,00
